lambda_,alpha,sigma_noise,capital_scale,position_scale,initial_margin_calls,initial_margin_calls_std,initial_avg_leverage,initial_avg_leverage_std,initial_max_leverage,initial_max_leverage_std,volatility,volatility_std,max_drawdown,max_drawdown_std,max_drop_from_initial,max_drop_from_initial_std,margin_call_pressure,margin_call_pressure_std,unique_margin_called,unique_margin_called_std,unique_margin_called_ratio,unique_margin_called_ratio_std,total_liquidations,total_liquidations_std,liquidation_ratio,liquidation_ratio_std,final_price,final_price_std,final_active_traders,final_active_traders_std,final_active_ratio,final_active_ratio_std,inactive_ratio,inactive_ratio_std,final_total_position,final_total_position_std,crash_20_probability,crash_50_probability,crash_80_probability,crash_initial_20_probability,crash_initial_50_probability,crash_initial_80_probability,loss,method,candidate_id
0.007991509195002463,0.9297469736376573,0.6151864585480135,0.9025403545761967,0.1354230070699747,0.5,0.5270462766947299,1.6197824257092013,0.12233310130859691,3.6755164020588085,0.3114291046492062,0.030402750833870968,0.0010948177787515412,-0.564030549670414,0.20344126135942403,-0.47145633864954,0.2600056562800875,428.0,461.62033461854054,19.2,10.881176406988356,0.384,0.2176235281397671,19.783233433620907,16.091227920789493,0.3037219868893043,0.25104915730130506,110.78873687155594,81.2394415738926,50.0,0.0,1.0,0.0,0.0,0.0,47.0163649576981,18.380834029115928,1.0,0.6,0.2,0.8,0.5,0.1,0.15691389905262182,random_search,32
0.008365904707399454,0.6234306754348459,0.9024169167679704,1.017635802528951,0.15403628408321696,0.5,0.5270462766947299,1.6340356004938434,0.12340956383049123,3.7078588802033203,0.31416950570007374,0.02413170615817223,0.0007694462521142014,-0.4797790524615399,0.20091335620254352,-0.39922542516032145,0.24517345952453895,355.8,410.67040041592696,15.6,10.200217862597075,0.312,0.20400435725194152,17.460529285976257,16.66460360379541,0.2363617372100121,0.22855990856907077,107.45308639916377,69.24850519126576,50.0,0.0,1.0,0.0,0.0,0.0,58.520370393302585,19.177599051859815,1.0,0.4,0.0,0.8,0.4,0.0,0.1906699286701953,random_search,25
0.010862632227936996,0.34594717155064264,0.3497675238451817,0.9095916424181509,0.18080467725078087,3.1,2.024845673131659,2.145823803834388,0.162062062545182,4.869179009315581,0.41256898170783846,0.014139095057004758,0.000729229218349572,-0.43349942413862924,0.22408183296036857,-0.41721065437983923,0.2296224499448097,981.6,976.9776751685669,26.2,12.425779653607252,0.524,0.2485155930721451,34.13651066760367,24.494990557861847,0.39064219114175464,0.28642971724056177,79.23044238006153,40.921193308278625,50.0,0.0,1.0,0.0,0.0,0.0,55.048333835099854,27.27341933862325,0.9,0.4,0.0,0.8,0.4,0.0,0.28645117753869015,random_search,39
0.01382649145516571,0.5304696765527546,0.4466855003236072,1.3834302729348953,0.1796408689933508,0.0,0.0,1.4017763585957765,0.1058683231564334,3.1808296696275113,0.26951394789011124,0.02315937365536808,0.0009256088636881738,-0.4889848986318852,0.22943022326037518,-0.40872387758774026,0.27795972526906043,299.2,402.18121951843216,11.7,10.29616973010406,0.23400000000000004,0.2059233946020812,15.764926234831554,18.141498084056202,0.18378351057010328,0.21325769120137258,103.549852568518,71.7009199612431,50.0,0.0,1.0,0.0,0.0,0.0,72.84585093704791,20.99079379093839,0.9,0.4,0.1,0.6,0.4,0.0,0.3997597290080469,random_search,74
0.00954940339891006,0.4876215511635801,1.3154429765250608,1.59525781977095,0.21120227360925523,0.0,0.0,1.4292182915374567,0.10794085876947324,3.243099313395983,0.2747900988534909,0.025493395612485314,0.000780309155408042,-0.4938128308905805,0.2089391055152663,-0.40354615823163825,0.2612611199859344,256.9,325.08612534048405,12.2,10.053191864610296,0.24400000000000005,0.20106383729220592,18.4492474010679,20.229138872359723,0.18275416678269804,0.20238135503475047,111.23039878018929,79.48546434865477,50.0,0.0,1.0,0.0,0.0,0.0,85.72970536093825,23.631870670052972,0.9,0.4,0.0,0.7,0.4,0.0,0.41338164359889673,random_search,41
0.01814536203758602,0.3194005048907714,1.1576732997814334,1.5886255122243886,0.23990854806047981,0.5,0.5270462766947299,1.6302531516946932,0.12312389664161645,3.6992759666091453,0.3134422693600538,0.0330902255971166,0.0013188501037988585,-0.6358626228348643,0.22834728860402695,-0.5685813924775224,0.3007780614416434,684.2,716.5481762511777,22.1,13.008117123977286,0.4419999999999999,0.2601623424795457,47.60537531692445,35.23988470966473,0.41093921793467897,0.3070494988241607,101.20915810759088,109.17937864188765,50.0,0.0,1.0,0.0,0.0,0.0,70.73341369551997,38.991701652216456,1.0,0.7,0.4,0.9,0.6,0.3,0.45018806404928513,random_search,44
0.005507561964184599,0.5383479247561508,0.37882069566453613,1.5342053073484874,0.33621346424168597,4.1,2.4244128727957577,2.3657153051213653,0.17866923698841713,5.368144059698661,0.4548466433732871,0.00883010910507442,0.00048477381121954643,-0.30194129722338153,0.18210523189621936,-0.2913442781851486,0.18183277580218948,868.8,901.3738649663882,23.0,11.015141094572204,0.45999999999999996,0.22030282189144407,45.830441545185494,34.91066596891359,0.28224162550925647,0.21989390579468898,85.33451848924803,27.661062682206886,50.0,0.0,1.0,0.0,0.0,0.0,120.01231199442479,40.0528268586804,0.6,0.3,0.0,0.6,0.2,0.0,0.5031853382271755,random_search,77
0.02476365169850212,0.30013046584408803,0.49637427189678957,1.423678530707367,0.20265714914103067,0.1,0.31622776601683794,1.5366708464172991,0.1160561488685296,3.486924423259775,0.295449572883682,0.03420250823336453,0.0016254673771808246,-0.6841113611803832,0.23294355021410396,-0.6174028452683197,0.316533747364061,780.6,776.0555822018594,22.7,13.19132711712931,0.454,0.26382654234258623,42.41347431281615,30.11422791377095,0.43306717764842056,0.30962194649684865,93.48426132729453,114.99681637384246,50.0,0.0,1.0,0.0,0.0,0.0,57.550456976610484,33.29163511289142,1.0,0.7,0.4,0.9,0.7,0.4,0.6098076604701365,random_search,90
0.00970993126099751,0.4893977186891143,0.34422304227701006,1.5031403209034715,0.30198784175287113,3.2,2.043961295567452,2.168806431649039,0.1637978117990093,4.921329856339481,0.4169877598654473,0.014457647907862914,0.0008411005932779105,-0.49338949613338307,0.22369435169018773,-0.4812957759879475,0.227733335404504,1279.6,1191.0732974926439,30.4,11.305849027040042,0.6079999999999999,0.2261169805408008,69.90839596347016,40.79286052364383,0.47758454812204415,0.28655464863536695,70.87312703336283,38.97879652692614,50.0,0.0,1.0,0.0,0.0,0.0,79.05201323590266,45.61209081889474,0.9,0.5,0.0,0.9,0.5,0.0,0.6612991906081074,random_search,57
0.02187922312745234,0.30071291426681457,1.2860524099449833,1.4644216737358895,0.20095356704636103,0.1,0.31622776601683794,1.4813593756876575,0.11187878304155185,3.36141483958851,0.2848150570791159,0.039504603542786135,0.0014695677134220653,-0.6742302655407314,0.22172869427229944,-0.5922825546111404,0.3105731529672527,602.5,658.7269287547509,20.4,12.553883861180173,0.40800000000000003,0.25107767722360347,37.482971020277716,28.685812991955967,0.38646273651716867,0.2979076894763855,120.06973318744299,156.05621184933284,50.0,0.0,1.0,0.0,0.0,0.0,61.64064072365418,31.806690025497968,1.0,0.7,0.4,0.9,0.7,0.4,0.6700978663597896,random_search,65
