source_method,source_rank,lambda_,alpha,sigma_noise,capital_scale,position_scale,initial_margin_calls,initial_margin_calls_std,initial_avg_leverage,initial_avg_leverage_std,initial_max_leverage,initial_max_leverage_std,volatility,volatility_std,max_drawdown,max_drawdown_std,max_drop_from_initial,max_drop_from_initial_std,margin_call_pressure,margin_call_pressure_std,unique_margin_called,unique_margin_called_std,unique_margin_called_ratio,unique_margin_called_ratio_std,total_liquidations,total_liquidations_std,liquidation_ratio,liquidation_ratio_std,final_price,final_price_std,final_active_traders,final_active_traders_std,final_active_ratio,final_active_ratio_std,inactive_ratio,inactive_ratio_std,final_total_position,final_total_position_std,crash_20_probability,crash_50_probability,crash_80_probability,crash_initial_20_probability,crash_initial_50_probability,crash_initial_80_probability,loss
random_search,1,0.007991509195002463,0.9297469736376573,0.6151864585480135,0.9025403545761967,0.1354230070699747,0.3,0.5595813731096783,1.6432390145464846,0.09949181466877254,3.6397696002684228,0.40624926899290503,0.0309780792498492,0.001074966773348054,-0.5929610313588488,0.16555346944856486,-0.4279684371764018,0.27685761759716576,480.75,584.8310016620618,18.56,13.32675595343534,0.37120000000000003,0.26653511906870675,20.87624251601586,19.3165307060067,0.30632391799472025,0.2806400712998764,121.19467737530313,108.16776618670988,50.0,0.0,1.0,0.0,0.0,0.0,46.98847470067868,19.05610156948966,1.0,0.65,0.13,0.72,0.43,0.1,0.22115741115242113
random_search,5,0.00954940339891006,0.4876215511635801,1.3154429765250608,1.59525781977095,0.21120227360925523,0.05,0.21904291355759034,1.4438026107656308,0.0927001080204481,3.23330693092997,0.3223371556449141,0.025793999808163305,0.0005160151184101532,-0.5487905528978819,0.17044520021295054,-0.4231254132284017,0.24932990202261932,313.64,389.4064771475231,14.17,10.624019859723436,0.2834,0.21248039719446865,23.45530997054384,22.280070172864125,0.22142377060712012,0.2085909220466411,94.13856523237298,61.26390176636407,50.0,0.0,1.0,0.0,0.0,0.0,81.6954478640863,21.70305147017837,0.99,0.56,0.08,0.82,0.42,0.05,0.23639599172020823
random_search,4,0.01382649145516571,0.5304696765527546,0.4466855003236072,1.3834302729348953,0.1796408689933508,0.04,0.1969463855669321,1.4278306353279546,0.09373570474351321,3.1892525430168153,0.3444926426317055,0.023398318938404047,0.000604171420615514,-0.5124633856384531,0.1792861069655313,-0.40232460352786875,0.24787401986566485,312.85,456.8165287170453,12.57,10.505655042822786,0.2514,0.21011310085645576,17.93796399001507,19.20007338227869,0.1977620261908553,0.21036234448763053,100.68401234741603,64.48051109789212,50.0,0.0,1.0,0.0,0.0,0.0,72.22629894007659,18.961254344131575,1.0,0.47,0.05,0.74,0.37,0.04,0.3271808995048155
random_search,2,0.008365904707399454,0.6234306754348459,0.9024169167679704,1.017635802528951,0.15403628408321696,0.27,0.4682872294787992,1.6778193252858122,0.09796977377006372,3.7193055187728703,0.33539529525613865,0.024312728726622223,0.0006379769538412885,-0.4835697132489296,0.16487720077478446,-0.33816534699860057,0.2456886956820684,362.87,551.6192995319885,14.5,12.257753678897503,0.29,0.24515507357795008,16.698282796471837,18.729219792202514,0.2167709684379883,0.24225128822045763,112.76359851458997,71.02658317457878,50.0,0.0,1.0,0.0,0.0,0.0,60.50885711834786,19.051283015175922,0.98,0.43,0.05,0.64,0.32,0.03,0.3403347290842947
random_search,3,0.010862632227936996,0.34594717155064264,0.3497675238451817,0.9095916424181509,0.18080467725078087,2.86,1.7696658361727988,2.184449932328734,0.13593681085056603,4.788259886331958,0.5193615373741651,0.01418783416817527,0.0006382822946777854,-0.46963383580354706,0.19342888150839263,-0.4134743835860929,0.23279388806613852,1008.99,1047.4697603696677,27.22,13.943305116641376,0.5444,0.27886610233282744,38.28010619705979,27.01128998126576,0.41900226952028147,0.2926364055785818,79.84863142735335,45.52053595570049,50.0,0.0,1.0,0.0,0.0,0.0,52.387278483849265,26.092025631373254,0.91,0.49,0.02,0.77,0.45,0.01,0.3749681294676027
