parameter,volatility_mean,drawdown_severity_mean,drop_from_initial_severity_mean,liquidation_ratio_mean,unique_margin_called_ratio_mean,crash_50_probability
N_noise,0.0096777442353917,0.13648694199270006,0.09281886940788148,0.06836302672359611,0.06639999999999999,0.28
N_traders,0.000516243298056298,0.07227973602779342,0.0982976842048928,0.08364083627050671,0.07980000000000001,0.14
alpha,0.020813240174363097,0.2276196043368599,0.21698903912922285,0.1553717549140871,0.15360000000000001,0.48
capital_scale,0.000590299311751398,0.09565062450331141,0.15045198489436798,0.32609243924113557,0.4248,0.34
lambda_,0.061555457379653,0.6974521035407226,0.6886409704432852,0.5803282791567914,0.5088,1.0
margen_mantenimiento,6.940097544700166e-05,0.031167679402877013,0.03880168127379452,0.05745077952126801,0.19039999999999999,0.01999999999999999
margen_mantenimiento_spread,6.69643037309979e-05,0.011906924894664106,0.034344665596656,0.014176089708111891,0.029200000000000004,0.06
position_scale,0.001599367171628601,0.25583119773875984,0.3378458096288846,0.7971302119905412,0.87,0.64
sigma_noise,0.0173290755964408,0.18465168096585882,0.1459116397453133,0.1084391153806701,0.09920000000000001,0.44
