parameter,volatility_mean,drawdown_severity_mean,drop_from_initial_severity_mean,liquidation_ratio_mean,unique_margin_called_ratio_mean,crash_50_probability,sensitivity_score
N_noise,0.15721992244656205,0.1956936416132422,0.13478557534579017,0.08576142980816703,0.07632183908045975,0.28,0.15496373471570354
N_traders,0.008386637351620766,0.10363397810524085,0.1427415568109716,0.10492744474161167,0.0917241379310345,0.14,0.09856895915674657
alpha,0.3381217695450487,0.3263587609547868,0.3150974868508692,0.19491389559317163,0.17655172413793105,0.48,0.30517393951363453
capital_scale,0.009589715305186246,0.13714292926743835,0.21847666832474474,0.4090830260050474,0.4882758620689655,0.34,0.26709470016189707
lambda_,1.0,1.0,1.0,0.7280219347195909,0.5848275862068966,1.0,0.8854749201544146
margen_mantenimiento,0.0011274544679111098,0.04468791368561297,0.05634529884101651,0.07207201365233128,0.21885057471264366,0.01999999999999999,0.06884720922658592
margen_mantenimiento_spread,0.0010878694852023436,0.017072032379308592,0.04987310815176737,0.017783907189657625,0.0335632183908046,0.06,0.029896689266123423
position_scale,0.02598254061803573,0.3668082674638065,0.4905978937201628,1.0,1.0,0.64,0.5872314503003342
sigma_noise,0.28151972764268474,0.2647517729582379,0.21188347195112206,0.13603689052241924,0.11402298850574714,0.44,0.24136914193003514
