run_id,acf_returns_1,acf_abs_returns_1,acf_squared_returns_1,return_kurtosis,return_skewness,return_p01,return_p05,return_p95,return_p99,extreme_negative_1pct,extreme_negative_5pct,liquidation_concentration_top10,corr_liq_negative_return,corr_margin_negative_return
0,0.025265524884461675,0.02885135057105563,0.01980002160152464,-0.05870454649988677,0.045021781966650035,-0.06737171217621744,-0.04816771955536066,0.05223764811250198,0.07279275197175158,0.01,0.05,1.0,0.1158861567957771,0.11755937871738091
1,0.04120119573878772,0.030152728027958573,0.012747244861497644,-0.08892514381287597,0.1476345595859468,-0.05936227031076654,-0.04585181936341457,0.05355339717721365,0.06864708183780396,0.01,0.05,1.0,0.11939966334992773,0.11939231905774375
2,0.01270862123297087,0.022484187406292815,0.021441537478937886,-0.21414110179363277,0.12728003629344814,-0.06968300116456244,-0.049897090939914124,0.058485321699223984,0.07253558997546584,0.01,0.05,1.0000000000000002,0.23515782450001255,0.186018933364566
3,0.00563276219933567,-0.037882114798181654,-0.059261257635232906,-0.18835607112129926,0.18679638593303358,-0.0591211664589757,-0.045630799870014234,0.046993688562301135,0.07263307097565601,0.01,0.05,1.0,0.18512940233517355,0.18274069006379795
4,0.1019962088062599,0.028822052125179135,0.11756664670489389,0.03013262896192881,0.09162731911601846,-0.06862832768946507,-0.05028158912842623,0.0494480533669187,0.07415795674553612,0.01,0.05,1.0,0.29885465386410776,0.19820488904010983
5,-0.017640180096524283,0.013073047437391964,-0.0032716645673863,-0.31308980831632605,0.059757887111481715,-0.06427139572496461,-0.048764947473071224,0.04956336319036823,0.07061007138039305,0.01,0.05,1.0,0.09310806503701066,0.09061914921789697
6,-0.08534189587613213,-0.011473703408655446,-0.026724605765062606,-0.42798801902726913,0.005938622719764928,-0.0635502278634952,-0.04690701022613674,0.04996436627342802,0.0656054471639167,0.01,0.05,1.0,0.1286991240421602,0.13803476162849032
7,0.07854888140572677,-0.0188709914314275,0.008953385611980176,-0.05503802217108156,-0.05325574282549226,-0.06973781844843897,-0.05368771307932173,0.046349575678685605,0.06540466959481088,0.01,0.05,0.9604131066483461,0.4263015517527231,0.3929639126218631
8,0.07352573660188545,-0.03583283837887515,-0.02903281960147025,0.0016633909106564815,-0.08356230245915376,-0.0692980264748896,-0.04786618214936821,0.05256929860605436,0.07291186793729533,0.01,0.05,0.0,,
9,0.061434347259283,-0.011829034336314893,-0.02969260240402806,-0.017568004113833968,-0.002268836060936319,-0.07216867741047447,-0.050719204267286586,0.04802602084276525,0.07221857165849634,0.01,0.05,0.956000899195157,0.37753786803002587,0.3177151857126119
10,-0.03858516195501117,0.019585639850793368,0.036105836423215056,-0.25635016198306015,-0.035104640964631756,-0.07039308983502597,-0.05111361099538683,0.050763172599971575,0.0722387694009459,0.01,0.05,1.0000000000000002,0.31171186738383927,0.2522983472255558
11,0.054158325975002655,0.02797392953299419,0.03135472117668157,-0.4169583322554433,-0.049451602368059074,-0.05952680737615776,-0.04919588489712225,0.049894594077770915,0.06620218618777451,0.01,0.05,1.0000000000000002,0.08967672344712922,0.09528826646390783
12,0.06049680634906647,-0.06939511560993517,-0.059884279084817416,-0.3986214651401756,0.06993060992297159,-0.06764688934143195,-0.04861594277568844,0.04666776642358917,0.06517108990263765,0.01,0.05,0.9995704565757726,0.3663861300774606,0.32838873567415433
13,0.02050158136844897,-0.04367649851683685,-0.04273549359071937,-0.1628314478571431,-0.030093093158220164,-0.06718866912931505,-0.048065460219064715,0.04871847823035393,0.06329918280702822,0.01,0.05,0.9999999999999999,0.24874150947373702,0.20028594953697326
14,-0.0052195374919637395,-0.0327278252391767,-0.006359653964463886,0.4532424266183819,-0.057516729005087815,-0.07427840145669053,-0.05309053058255611,0.048332206340134194,0.0658812113759971,0.01,0.05,0.9871312772993132,0.41044313309922165,0.3710368338006391
15,-0.031405072436771875,-0.020464131468072418,0.022214938407135527,-0.2993693269556199,-0.01108458150239208,-0.07083916640459732,-0.04963638407997955,0.051997132404615516,0.07313056720783188,0.01,0.05,1.0,0.16286347674269772,0.1642679291951496
16,0.01715263912476013,-0.034764025437097126,-0.034591926372221735,0.08560314916368839,-0.11014246974373736,-0.07738063868097887,-0.05087157557762722,0.04952528642984318,0.0706262942664442,0.01,0.05,1.0000000000000002,0.339843750284428,0.274571931437695
17,0.037914778951775543,0.021894238548403694,0.005292890086930105,-0.05624042779825622,-0.009953182911096916,-0.07026326771341895,-0.04818260278907789,0.046449998690122195,0.06936733847629792,0.01,0.05,1.0,0.142975926676632,0.16625764443868582
18,-0.008742480461347527,0.021953984068209094,0.004091230991486155,-0.23840106428243146,0.025230001565902833,-0.06437696122187145,-0.04471028165734761,0.04469044256560825,0.06463617218307424,0.01,0.05,1.0,0.15319637575334308,0.1643590829119788
19,-0.018728113695390063,-0.010562214063196684,-0.016312247745369143,-0.362503544447041,0.22533974930180414,-0.06232547674157085,-0.04598695047577832,0.04916858128372898,0.06204550465576403,0.01,0.05,0.9951517427997505,0.3505807867913133,0.2987400846260976
20,-0.019171297004587775,-0.003736634501145128,0.014479752765143645,-0.4275340074032945,-0.06443145779504975,-0.06763655279832566,-0.04684821048742129,0.04838983127295718,0.06393301404160007,0.01,0.05,1.0,0.198806738953329,0.18600199310195145
21,0.04007377459039385,0.004737932879361985,0.0006551200453822254,-0.2528264728753782,0.0341726882990829,-0.06280579135182439,-0.04736787848807624,0.051508654160195046,0.0684335306155393,0.01,0.05,1.0,0.13500074201031456,0.12605634736939456
22,-0.028032364653984773,-0.007094621159211539,-0.03424670310582177,-0.15245867617123876,0.017507280561076723,-0.0653204431410291,-0.046806799065137086,0.05096191566334015,0.07604597789087474,0.01,0.05,0.0,,
23,-0.04523376414880373,0.01103130603288213,0.03695703947520438,-0.09109476258563509,0.025486379245201744,-0.069544621097208,-0.04803072049722003,0.0549208239647145,0.07454241677596195,0.01,0.05,0.9999999999999999,0.2865873139915921,0.24877384576956194
24,0.05481456754838417,-0.04843107723231933,-0.02009450086990156,0.018968423881785768,0.24010113466022406,-0.06526165808701952,-0.05105676513829641,0.05582586442434639,0.07811930107988241,0.01,0.05,1.0000000000000002,0.24350175498282828,0.23170598522043293
25,0.03920697284936595,-0.048196094467932146,-0.06210457906517297,0.01683722540968846,0.22688160324409437,-0.05971817042574948,-0.041976776444272154,0.04970142479122802,0.07170167340313019,0.01,0.05,1.0,0.2063622883365382,0.17199331555017294
26,-0.003124113639899086,0.035313025168376366,0.02948611413732625,-0.422929360848435,0.04498033578263164,-0.06301890746348904,-0.04817206924972518,0.050208103203313294,0.06838576280894466,0.01,0.05,1.0,0.15293872675807516,0.1753632299831917
