run_id,lag,acf_returns,acf_abs_returns,acf_squared_returns
0,1,0.025265524884461675,0.02885135057105563,0.01980002160152464
0,2,-0.051900728014019945,0.036589646241635465,0.03654251617378649
0,3,0.11423955979207305,-0.014062210259000039,-0.01582523522554907
0,4,0.03637991516959925,0.03654928257738132,0.014131949139598022
0,5,-0.04392681550505498,0.00206063679302974,-0.00608269508119907
0,6,0.041013103539236026,0.008595597651068133,-0.007473005461572404
0,7,-0.03647969274071475,-0.02423669355939724,0.004945361054945884
0,8,0.060102584787162974,0.05642226165154548,0.04536412269381407
0,9,-0.04532276718198502,-0.03463453847129055,-0.03988772079864708
0,10,-0.07970516911405605,0.019073189030445876,0.008992718608291784
0,11,0.11347468053902542,-0.04265027610710434,-0.013157646681826056
0,12,-0.004035964433476333,-0.019286537661716587,-0.034110535731841814
0,13,-0.11684869017941404,-0.0845975111139455,-0.07036089955331222
0,14,-0.057459705244095154,0.11727736037006671,0.0787110947658173
0,15,0.027038756657312587,0.03808619930472837,0.02384301581025236
0,16,0.03370118652548279,-0.013926060960592861,0.0038319820667057935
0,17,-0.058824352661782736,0.03789088388760852,0.04043717223810536
0,18,-0.0010962367243340164,0.08080860430236475,0.048244009338397516
0,19,0.00023058187289785962,0.04905824981863952,-0.005771202548787112
0,20,-0.026151607359814446,0.07165106573556401,0.07899663053468278
0,21,-0.10037813349058819,0.018955045462584284,0.011184209682203738
0,22,0.018048413924874104,0.07465961455426236,0.06403185168095189
0,23,0.017853339931417658,-0.0248317053090035,-0.04262510352378535
0,24,-0.025737708167996552,0.06512694412026448,0.05218421886538067
0,25,0.007947338542283825,-0.05639139877618872,-0.03713910150158079
0,26,-0.026914041050441335,-0.02937898141632887,-0.05287297226161897
0,27,0.01351696566797014,0.024103577274217827,0.006433060671381409
0,28,0.07158852960781284,-0.09138115128711069,-0.09113196796020341
0,29,0.035020702366207815,0.05914899787729254,0.02078944259770303
0,30,0.010275023271427592,-0.003101267714053039,-0.023736720053176792
1,1,0.04120119573878772,0.030152728027958573,0.012747244861497644
1,2,0.058099068219357,0.023905799462389445,0.009805858530926902
1,3,0.004755614982541699,0.11342091896187007,0.05634115974849823
1,4,0.011527391418583078,0.03563682392769806,0.049010785820966005
1,5,0.08191941383785642,0.052032032246740044,0.036328369129930135
1,6,0.024353589920561424,0.05860036865365839,0.06629744654642204
1,7,-0.03443461589883262,0.015511676647400868,0.018774539647326928
1,8,-0.03403853046454736,-0.005931060184915524,-0.0349571998607328
1,9,-0.0227782435335171,-0.032797073799905416,-0.05732660283973158
1,10,0.05654269696314785,-0.040471673287232654,-0.02220196673849419
1,11,-0.0362475958980378,0.04581784666037867,0.07714985549205468
1,12,-0.014095915424333675,-0.022959167481890776,-0.026781106172248055
1,13,-0.038402020091681886,0.03499605747920423,0.063375777767276
1,14,0.022229519997171043,0.03229382668090512,0.011819236421613838
1,15,0.035376996610433704,0.013405745967531255,0.012577703755596786
1,16,-0.0080953245314469,0.02167677818191398,0.029739875022098412
1,17,-0.041841525320785014,0.12079876951920773,0.17364860074011265
1,18,-0.022571805287113594,0.03164480041611632,0.006599421161748159
1,19,0.024314265504521503,0.057391197907523256,0.07284661260955995
1,20,-0.055225733785240136,0.051673500952050776,0.04761566567047277
1,21,0.044739882505884045,-0.1258357594247872,-0.11750145930793887
1,22,-0.017742840131928457,0.03634566679731951,0.026164633100911102
1,23,-0.04165526489745633,0.06266449268778006,0.03851973850668943
1,24,-0.07150007722334722,-0.029117461301368264,0.001883285678259467
1,25,-0.014369255318904041,0.011590681157279074,0.0018788017140345839
1,26,-0.019247894228018796,0.008855715069836505,-0.03315828870726045
