lag,acf_returns_mean,acf_returns_std,acf_abs_returns_mean,acf_abs_returns_std,acf_squared_returns_mean,acf_squared_returns_std
1,0.010015312015705468,0.04525617085707228,-0.00694331767693088,0.04049703876861511,-0.005257937520704231,0.042351202441304824
2,0.004416801788240587,0.04410475712354297,0.0012516477517773366,0.039691709898074704,0.001205529358311135,0.04172909752164715
3,0.004040631103063546,0.04585355547559885,0.00265188062655273,0.04717319173830582,0.0035205209162096863,0.04508506706891711
4,0.002145963077420733,0.04798622274667757,0.0030170340261071278,0.04426275618020739,0.0005393823911525352,0.043540166815538885
5,0.0034644821106858876,0.049406878067205784,-0.0007737608854385879,0.045256456925674225,0.00044084973190183834,0.04744162271637206
6,0.002256680153144604,0.04712977282873236,-0.0011522932769272318,0.04554830484826673,-0.0019563540297562795,0.04623910008249045
7,-0.0005249872048420565,0.040910655738407346,-0.001320564836170019,0.044518066699080816,-0.000576184520284435,0.045928696134906175
8,0.0037279976559421208,0.04696910798706712,-0.002228961458270375,0.04437718158118239,0.0004375151608127194,0.0453722593758514
9,-0.005933061592164596,0.04453554819406244,-0.001078528222857917,0.04867478181965585,0.0006860772500274409,0.04913199530657607
10,-0.0012158680017830567,0.04502835022617027,0.0038195508559397905,0.042711151556599485,0.006644401574546806,0.0419212013278827
11,-0.0005904414301860291,0.04581696021139153,-0.0014019815590052367,0.04284685772325405,-0.002723331642200103,0.04080442446376804
12,-0.0008393829134864668,0.04663843221355638,-0.0013696602320892842,0.046892692435498234,-0.00033039702068031403,0.044738175542195065
13,-0.001503711074250594,0.04353287938038413,0.0023161479366907755,0.050028417437633386,0.0024009955642195755,0.04895141321500375
14,0.0020794154068700652,0.05036111084904381,-0.0011550067745513346,0.04464748915358561,-0.0027852028868278595,0.04353513573526638
15,-0.0006906800647031482,0.045811483550127416,-0.0036778875065923687,0.04362557131533674,-0.0017575398420527424,0.04574738699786724
16,-0.0020133606706179306,0.04135240622418819,-0.0015525897189447352,0.04763027722799251,-0.0012402310308376224,0.04815488155735796
17,0.0025735150207564445,0.048983994940517285,-0.0001623933115206385,0.04945429137373312,0.002310144056768867,0.05096192176555243
18,0.006054575311966801,0.046721081456707295,-0.004847850333608726,0.044273774680217655,-0.004235968786147622,0.04244549130721109
19,-0.002851199921937269,0.04642151898578136,0.0019453701696523684,0.04508144394621543,0.0029596628086082997,0.04273046562193766
20,0.005040681963662491,0.044747437730080435,-0.0015249725179741383,0.04446861369239868,-0.002371131453792504,0.04583272118687298
21,0.0033447060268641054,0.04621537948139542,-0.0014215259907753785,0.046015972514269386,-0.003688067424899113,0.04581875352405335
22,-0.001517739036341884,0.047571092487009796,-0.008515143372082147,0.04540005112337348,-0.006531747411488661,0.04477119152268079
23,-0.0007015485139972779,0.04270240954068897,-0.005547913005495945,0.04084480796428301,-0.005344384056561119,0.038810034096275516
24,0.0025391476244264904,0.04744193237501506,0.0008406940996898938,0.04264714388849317,-0.0007313661075325896,0.0442450160599714
25,-0.003791001044049021,0.04951420818218857,-0.004890253961919624,0.04596298471621404,-0.00350364448181275,0.046908953791525446
26,-0.002906641078064132,0.04519155292379743,0.0017233075812268911,0.04682846912951584,0.001999764050799991,0.047142660696788005
27,-0.0011567913864898472,0.04783738451338681,0.0012211655494649592,0.04084349960171635,3.8866532489759714e-05,0.041875155437310435
28,-0.001031574415707213,0.04658695208270315,-0.0021707631622070187,0.048141182511041145,-0.00499084344121214,0.04648248879813682
29,-0.009820419484894852,0.04975430333665324,-0.0007685494469999464,0.04549589240594447,-0.0013943945419275516,0.044957495778741106
30,0.001018402898579798,0.04564347688223205,0.005615297732754921,0.047452502538278235,0.006488426572658034,0.04779320317096793
